name,price,old price,sale,url,fullDescription,KEY FEATURES,productInformation,rating,productCategory
Stretchy Silicone Lids.Fridge And Microwave Useful Lid. 6pcs.,EGP 49.99,EGP 75.00,33%,https://www.jumia.com.eg/a-blue-stretchy-silicone-lids.fridge-and-microwave-useful-lid.-6pcs.-generic-mpg825859.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/51/311912/1.jpg?2106,"6pcs silicone cover. In order for you to eat you must prefer fresh and with the same taste and flavor, and for the fridge many times, it is not left enough ... we offer you this masterpiece! Silicone food covers, the magic solution that will keep your food fresh and extend its life inside the fridge for more than 3 times .. This is because it is a high quality sanitary silicone covers that are very safe on food, made with a rubberized round design that can be stretched and anti-tearing .. Meaning you can wear it on any box Or a cup, beaker, or preservatives in the plates and even 1 fruits such as watermelon, cantaloupe and cantaloupe because they prefer freshness and the same taste, so you can check the liquids too The advantage of the rubber covers is that they completely prevent the air and bacteria from reaching the food and the fruits .. so that it extends its life and does not let the food spoil easily. A holder in it and it will prevent food and liquids from leaking out, in addition to that you can use it for soft drinks and jars after opening them in order to preserve the soda The silicone covers have a great ability to stretch and they stick with you on any plate or cup with ease .. You can keep the food in them as well as the refrigerator in the refrigerator as you like, in addition to that you can heat the food with it in the microwave because it is completely safe to use in high temperatures and it will not be affected or will be In short, silicone food lids are the appropriate way to keep your food fresh at all times with the same taste and flavor, as well as keep it from leaking Silicone Expandable Food Lids - Keep food fresh and reusable and durable and expandable food lids, fit different sizes and shapes of container lids.","SKU: GE810HL0UJSIWNAFAMZ Model: 305 Production Country: China Size (L x W x H cm): 6,9,11,14,16,20 cm Color: color may vary Main Material: silicon",4.1 out of 5 (25 verified ratings),tv
Food Storage Box With Standard Cup - 6 Pcs,EGP 159.00,EGP 190.00,16%,https://www.jumia.com.eg/food-storage-box-with-standard-cup-6-pcs-generic-mpg890878.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/43/605062/1.jpg?6966,"Easy Lock box to save legumes, cornflakes, nuts and pasta of all kinds More secure thanks to the lock system Cover : May vary And more practical thanks to the top cover 6 Pcs",SKU: GE810HA0PYLVQNAFAMZ Model: N/A Color: vary,4.5 out of 5 (2 verified ratings),tv
Acrylic Block Food Container With Two Ventilation Holes,EGP 99.00,,,https://www.jumia.com.eg/generic-acrylic-block-food-container-with-two-ventilation-holes-26296094.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/069262/1.jpg?2984,Acrylic Block Food Container With Two Ventilation Holes And A Strainer To Filter Food From Food To Keep Food In And Out Of The Refrigerator You can use it to store leafy greens Used to store small sized vegetables Cheese boxes are also used It can be used as an idea without the liquidator to occupy more space Shockable and house of purchases Small in size Size 13.5 * 9 * 8.5cm,SKU: GE810HA0T7Q32NAFAMZ Model: k-725 Production Country: China Color: رصاصي,0 out of 5 (No ratings available),tv
Mintra Lunch Box - 450ml - Neon Pink,EGP 13.50,EGP 18.00,25%,https://www.jumia.com.eg/mintra-lunch-box-450ml-neon-pink-28272871.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/827282/1.jpg?2283,Brand: Mintra Material: Plastic Item Type: Long Lunch Box Volume: 450ml. Color: Red,SKU: MI869HL0AM3MANAFAMZ Model: 6221236036371 Color: Neon pink Main Material: Polypropylene Shop Type: Jumia Mall,3.7 out of 5 (7 verified ratings),tv
A Set Of Food Containers Sealed Transparent.,EGP 144.99,EGP 215.00,33%,https://www.jumia.com.eg/generic-a-set-of-food-containers-sealed-transparent.-29248943.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/34/984292/1.jpg?0819,"This kit includes 3 airtight storage containers . High quality and transparency Made of high-quality food-grade Acrylic, free from harmful substances.  The transparent storage containers are strong enough to ensure a long service life.  You can quickly see what's in them at a glance.  Premium quality makes them easy to clean .  Compared to other containers, our silicone rings  which increases the seal and weather resistance of this container.  gasket ensure that air or water does not get inside. hermetic and leak-proof, High capacity and versatile use. Clear scale and transparent design. This product is a multi-purpose food storage container with insulating lid.   They are durable and safe to use. It is with good sealing effect keeping food in good quality. You can use it for cereal, dry food, cereal, rice, beans, nuts, etc. Help food to stay fresh longer. Packaging is safe, secure and convenient. Perfect for storing dry food, it can be used as coffee jar, tea storage canister, dried fruit container, candy jar and more. Seal ring for effective protection against moisture and dust. The color of the container lids varies as the color of the lid is random.",SKU: GE810FD0KTU1WNAFAMZ Model: S -85 Production Country: China Color: transparent Main Material: Acrylic transparent,5 out of 5 (4 verified ratings),tv
El Wataniya Plastic Egg Tray - 18 Grids,EGP 79.99,EGP 99.00,19%,https://www.jumia.com.eg/plastic-egg-tray-18-grids-el-wataniya-mpg869576.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/86/191252/1.jpg?9515,"Made of food grade PP material that is health and environment protection, non-toxic and no odor, the use of safe and secure. Box flat design make the box can be stacked and save more available space. High transparent top cover design, can effectively seal, and fully protect the freshness of the eggs. Refrigerator freezer can be used normally, do not fear the low temperature.","SKU: EL880HL1FBDLGNAFAMZ Production Country: Egypt Color: Transparent , color may vary Main Material: Plastic",4.6 out of 5 (27 verified ratings),tv
Food Storage Box With Standard Cup - 3 Pcs,EGP 80.00,EGP 95.00,16%,https://www.jumia.com.eg/food-storage-box-with-standard-cup-3-pcs-generic-mpg718447.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/342722/1.jpg?2017,"Box to save legumes, cornflakes, nuts and pasta of all kinds More secure thanks to the lock system Cover : May vary And more practical thanks to the top cover",SKU: GE810HA12WIRMNAFAMZ Model: N/A Production Country: Egypt Color: transparent Main Material: plastic,4.2 out of 5 (79 verified ratings),tv
El Wataniya Locked Fresh Box Set - 4 Pcs,EGP 94.99,EGP 120.00,21%,https://www.jumia.com.eg/locked-fresh-box-set-4-pcs-el-wataniya-mpg807322.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/463181/1.jpg?9245,"4 pcs Food storage box  Plastic  High quality  Refrigerator keeper set transparent Size : 3.3 L , 2 L , 1.25 L , 600 ml",SKU: EL880HL0DDGP9NAFAMZ Model: omega Production Country: Egypt Size (L x W x H cm): 173x173x98 mm Color: transparent Main Material: Plastic,4.4 out of 5 (14 verified ratings),tv
Kabas Plast Egg Storage Box - 15 Eggs,EGP 49.99,EGP 75.00,33%,https://www.jumia.com.eg/kabas-plast-egg-storage-box-15-eggs-40813960.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/06/931804/1.jpg?9244,Egg storage box - 15 eggs Strong and healthy plastic The box is sealed with a lid,SKU: KA028HA044KM4NAFAMZ Model: egg15 Production Country: Egypt Color: color may vary Main Material: plastic,0 out of 5 (No ratings available),tv
Mintra Transparent Food Container - 1.7 L – Arctic Ice,EGP 48.00,EGP 68.00,29%,https://www.jumia.com.eg/mintra-transparent-food-container-1.7-l-arctic-ice-40905669.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/650904/1.jpg?6036,"Material: Plastic :BPA Free - reusable, durable and recyclable plastic material Volume: 1.6 L Dimensions: 20 x 15 x 7 cm Microwavable with lid open and top rack dishwasher safe Mix and match bright colors with other Mintra Home product",SKU: MI869HL1LJKBCNAFAMZ Model: 6221236191223 Color: Blue Main Material: N/A,0 out of 5 (No ratings available),tv
Split Pulses Preservative 2500 Ml,EGP 128.00,EGP 200.00,36%,https://www.jumia.com.eg/split-pulses-preservative-2500-ml-generic-mpg817433.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/81/184252/1.jpg?6948,"Split pulses preservative This product exceeded all expectations In terms of quality and purity of the plastic And process performance Preservative of 2,500 ml grains Divided from the inside into four parts in one folder you will provide a place for four folders,  because they have separators from the inside to divide them into only 2 or 4 folders  according to your need ","SKU: GE810FD1CC264NAFAMZ Production Country: China Size (L x W x H cm): 2,500 ml Color: شفاف Main Material: plastic high quality",4.3 out of 5 (19 verified ratings),tv
Lamsa Plastic Egg Tray - 24 Grids,EGP 57.99,EGP 66.00,12%,https://www.jumia.com.eg/plastic-egg-tray-24-grids-lamsa-mpg722189.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/10/683171/1.jpg?6686,"Made of food grade PP material that is health and environment protection, non-toxic and no odor, the use of safe and secure. Box flat design make the box can be stacked and save more available space. High transparent top cover design, can effectively seal, and fully protect the freshness of the eggs. Refrigerator freezer can be used normally, do not fear the low temperature.","SKU: LA337HL06CZ6RNAFAMZ Model: 14112 Production Country: Egypt Color: Transparent , color may vary Main Material: Plastic",4.5 out of 5 (35 verified ratings),tv
Greenlife Food Conservation Set 3 Pieces (0.5 L),EGP 59.99,EGP 70.00,14%,https://www.jumia.com.eg/greenlife-food-conservation-set-3-pieces-0.5-l-40000106.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/60/100004/1.jpg?8230,"3 Pieces Refrigerator Set 0.5 L  fresh and cool design, high quality,  pure material doesn't contain substances hazardous to human health.",SKU: GR423HA0ZS5GKNAFAMZ Model: 2059-3 Production Country: Egypt Color: color may vary Main Material: plastic,4 out of 5 (1 verified rating),tv
Al Watanya Refrigerator Organizer - 3 Pieces,EGP 144.00,EGP 199.00,28%,https://www.jumia.com.eg/refrigerator-organizer-3-pieces-al-watanya-mpg766276.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/161762/1.jpg?6611,"Transparent box with tight cover Hand-held for easy carrying and moving Manufactured from plastic No. 5 health and suitable for food Bears low post-freezing temperatures Large capacity to store as much as possible Suitable for vegetables, fruits, flour and all-purpose",SKU: AL005HL16D8RMNAFAMZ Model: Organizer Production Country: Egypt Size (L x W x H cm): 27*15*16 Color: Transparent Main Material: plastic,4.3 out of 5 (102 verified ratings),tv
Rice And Vegetables Strainer,EGP 19.98,EGP 98.00,80%,https://www.jumia.com.eg/rice-and-vegetables-strainer-generic-mpg698919.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/50/781662/1.jpg?4606,"Rice And Vegetables Strainer,  simple to use. Safe Plastic Plastic PP5  Safe in Dishwasher  easy to use","SKU: GE810HA0U8FDQNAFAMZ Model: N/A Production Country: China, Egypt Color: color may vary Main Material: Plastic",3.6 out of 5 (98 verified ratings),tv
Watanya Rice Storage Box - 10 K.g,EGP 129.00,,,https://www.jumia.com.eg/watanya-rice-storage-box-10-k.g-25248117.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/184252/1.jpg?6948,solid easy to use tightly closed Saad is great,SKU: WA885HL16DQ4CNAFAMZ Size (L x W x H cm): 36*17*24 Color: may vary Main Material: plastic,5 out of 5 (1 verified rating),tv
Sharp R-750MR(S) Microwave with Grill – 25 Liter,Official Store,"EGP 7,086.00",15%,https://www.jumia.com.eg/sharp-r-750mrs-microwave-with-grill-25-liter-5052460.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/06/42505/1.jpg?3635,SHARP Microwave 25 Litre With Grill Microwave Output Power : 900 Watt Grill Power : 1000 Watt Microwave Color : Silver Country Of Origin : Egypt Warranty : 2 Years Manufacturer Warranty ,SKU: SH287HLEEAI4NAFAMZ Model: R-750MR(S) Color: silver Main Material: N/A,4.5 out of 5 (13 verified ratings),tv
Kabas Plast 9 X 1 Of Food & Legumes Storage Box,EGP 179.99,EGP 220.00,18%,https://www.jumia.com.eg/kabas-plast-9-x-1-of-food-legumes-storage-box-40813964.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/46/931804/1.jpg?9245,"to save legumes, cornflakes, nuts and pasta of all kinds for noodles, grains, and rice, and also serve nuts like coconut, snacks, and cornflakes. good material  9 packs of different sizes ",SKU: KA028HA0RXWT8NAFAMZ Model: viola Production Country: Egypt Color: color may vary,0 out of 5 (No ratings available),tv
Bags To Cover Food In The Refrigerator And Outside 100 Pieces,EGP 65.00,,,https://www.jumia.com.eg/generic-bags-to-cover-food-in-the-refrigerator-and-outside-100-pieces-27927017.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/072972/1.jpg?6386,"Bags to cover food in the refrigerator, and outside 100 pieces   To keep food, vegetables and fruits fresh, whether inside the refrigerator Outside, it protects food from dust or insects in the summer   The material is transparent plastic   Surrounded by a tight elastic that expands to cover multiple sizes, up to a size of 26 cm   It can be washed and reused if desired Very practical and easy to use ",SKU: GE810HA16BC98NAFAMZ Production Country: China Size (L x W x H cm): 26*26 Color: transparent,0 out of 5 (No ratings available),tv
Glass Fridge Containers Set - 3 Pcs,EGP 99.99,EGP 155.00,35%,https://www.jumia.com.eg/glass-fridge-containers-set-3-pcs-generic-mpg839739.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/837052/1.jpg?5168,Set of 3 food containers Excellent quality In freezer or microwave   The cover is tight Transparent color It is used to store food in the refrigerator or freezer Cover color may vary,SKU: GE810HA0HRIF0NAFAMZ Color: Color may vary Main Material: glass,4.3 out of 5 (3 verified ratings),tv
Kabas Plast Round Lace Turbo Storage Basket - 3 Layers - Black,EGP 169.00,EGP 250.00,32%,https://www.jumia.com.eg/kabas-plast-round-lace-turbo-storage-basket-3-layers-black-38493379.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/339483/1.jpg?6164,"Kitchen Storage Basket - 3 Layers Excellent material and quality Versatile and shock-resistant , To store vegetables or fruits outside the refrigerator",SKU: KA028HA1LYBMJNAFAMZ Model: Round lace turbo Production Country: Egypt Color: Black Main Material: plastic,0 out of 5 (No ratings available),tv
El Helal W El Negma Matrix Refrigerator Food Storage Box Set - Rectangular - 4 Pieces,EGP 170.00,,,https://www.jumia.com.eg/el-helal-w-el-negma-matrix-refrigerator-food-storage-box-set-rectangular-4-pieces-40167644.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/676104/1.jpg?1285,Matrix Refrigerator Food storage box Set  - Rectangular - 4 Pieces refrigerator boxes  Airtight lid to keep food in  High quality healthy plastic material   Excellent raw materials and high quality   High quality material plastic color transparent box with multicolor cover,SKU: EL048HA0QLKAWNAFAMZ Model: matrix 4 Color: MULTICOLOR Main Material: PLASTIC,0 out of 5 (No ratings available),tv
A Refrigerator Box And A Vegetable Sieve 2*1,EGP 49.00,EGP 59.00,17%,https://www.jumia.com.eg/generic-a-refrigerator-box-and-a-vegetable-sieve-21-28016516.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/61/561082/1.jpg?9062,Refrigerator box Squeezer The material of the box is healthy plastic Color may vary Wonderful colors,"SKU: GE810HA10NGU2NAFAMZ Model: kayangroub1 Production Country: China, Egypt Size (L x W x H cm): 22*22*11 cm Color: Color may vary Main Material: Plastic",4 out of 5 (1 verified rating),tv
Watanya Storage Box For Beans And Rice With A Cup - 5 Kg,EGP 128.00,EGP 170.00,25%,https://www.jumia.com.eg/watanya-storage-box-for-beans-and-rice-with-a-cup-5-kg-25247288.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/88/274252/1.jpg?6173,Storage Box For Beans And Rice With A Cup - 5 Kg,SKU: WA885HL1GK0UKNAFAMZ Production Country: Egypt Size (L x W x H cm): 12*3*90 Color: Clear Main Material: Plastic,5 out of 5 (1 verified rating),tv
Refrigerator Set/3pics,EGP 65.00,EGP 150.00,57%,https://www.jumia.com.eg/generic-refrigerator-set3pics-38650879.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/805683/1.jpg?3352,    Refregirator boxes  3 pieces Size : 200 ml,SKU: GE810HA1M8BCJNAFAMZ Model: Abeer77 Color: color may vary,0 out of 5 (No ratings available),tv
Bags To Cover Food In The Refrigerator And Outside 10 Pieces,EGP 9.99,EGP 49.95,80%,https://www.jumia.com.eg/generic-bags-to-cover-food-in-the-refrigerator-and-outside-10-pieces-37895986.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/959873/1.jpg?6019,"Bags to cover food in the refrigerator, and outside  pieces   To keep food, vegetables and fruits fresh, whether inside the refrigerator    Outside, it protects food from dust or insects in the summer   The material is transparent plastic   Surrounded by a tight elastic that expands to cover multiple sizes, up to a size of 26 cm   It can be washed and reused if desired Very practical and easy to use","SKU: GE810HA1521S1NAFAMZ Model: N/A Production Country: China, Egypt Color: color may vary Shop Type: Jumia Mall/Food",4 out of 5 (1 verified rating),tv
Lamsa 3 PCs Of Food & Legumes Storage Box - 2.5 L,EGP 119.99,EGP 140.00,14%,https://www.jumia.com.eg/lamsa-3-pcs-of-food-legumes-storage-box-2.5-l-22308035.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/080322/1.jpg?4270,"Easy Lock box to save legumes, cornflakes, nuts and pasta of all kinds More secure thanks to the lock system And more practical thanks to the top cover for noodles, grains, and rice, and also serve nuts like coconut, snacks, and cornflakes. good material ","SKU: LA337HA0VLP1ENAFAMZ Production Country: Egypt Color: transparent , color may vary Main Material: plastic",4.5 out of 5 (11 verified ratings),tv
4 PCs Stackable Containers Storage Box - 500ml,EGP 64.99,EGP 100.00,35%,https://www.jumia.com.eg/generic-4-pcs-stackable-containers-storage-box-500ml-39750812.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/805793/1.jpg?5250,"stackable containers, smarter storage And more practical thanks to the top cover for noodles, grains, and rice, and also serve nuts like coconut, snacks, and cornflakes. good material ",SKU: GE810HA0CZDGHNAFAMZ Model: JOY Production Country: Egypt Size (L x W x H cm): 500ml Color: color may vary Main Material: plastic,0 out of 5 (No ratings available),tv
4 PCs Stackable Containers Storage Box - 2x1L & 2x0.5L,EGP 69.99,EGP 120.00,42%,https://www.jumia.com.eg/generic-4-pcs-stackable-containers-storage-box-2x1l-2x0.5l-38560351.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/306583/1.jpg?9887,"stackable containers, smarter storage And more practical thanks to the top cover for noodles, grains, and rice, and also serve nuts like coconut, snacks, and cornflakes. good material ",SKU: GE810HA0942MVNAFAMZ Model: JOY Production Country: Egypt Size (L x W x H cm): 500ml x2 + 1 L x2 Color: color may vary Main Material: plastic,5 out of 5 (1 verified rating),tv
"Stainless Steel Set Of 3 PCs , Food Strainers , Silver",EGP 219.99,EGP 250.00,12%,https://www.jumia.com.eg/stainless-steel-set-of-3-pcs-food-strainers-silver-generic-mpg854134.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/135932/1.jpg?8911,"Material: Stainless Steel Size : 25.5cm, 22.5cm, 19.5cm Colour:Silver",SKU: GE810HA1L8IYKNAFAMZ Color: Silver Main Material: Stainless steel,5 out of 5 (5 verified ratings),tv
Glass Bowl Set 3 Pcs Turky,EGP 184.69,EGP 250.00,26%,https://www.jumia.com.eg/generic-glass-bowl-set-3-pcs-turky-40101313.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/310104/1.jpg?1291,"3 bowl set Used for ice cream, fruit salad and jelly Made in high material Enter the oven or microwave",SKU: GE810HA0IN314NAFAMZ Production Country: Turkey Color: Color may vary Main Material: glass,0 out of 5 (No ratings available),tv
Bags To Cover Food In The Refrigerator And Outside 100 Pieces,EGP 54.99,EGP 100.00,45%,https://www.jumia.com.eg/generic-bags-to-cover-food-in-the-refrigerator-and-outside-100-pieces-40294459.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/449204/1.jpg?8129,"Bags to cover food in the refrigerator, and outside 100 pieces   To keep food, vegetables and fruits fresh, whether inside the refrigerator    Outside, it protects food from dust or insects in the summer   The material is transparent plastic   Surrounded by a tight elastic that expands to cover multiple sizes, up to a size of 26 cm   It can be washed and reused if desired Very practical and easy to use",SKU: GE810HA1KTT2SNAFAMZ Model: N/A Color: Transparent,0 out of 5 (No ratings available),tv
Refrigerator Box Set 7 Pcs,EGP 115.00,EGP 250.00,54%,https://www.jumia.com.eg/generic-refrigerator-box-set-7-pcs-33845175.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/57/154833/1.jpg?2911,Rectangle 7 in 1 Refrigerator Cans Set Its color is transparent The kit consists of Large storage box 6 small storage boxes its sealed lid More than one box can be stored on top of each other,SKU: GE810HA0Y10Y9NAFAMZ Model: 5694 Color: transparent Care Label: <ul><li>تستخدم لحفظ الأطعمه</li><li>لا تدخل الميكروويف</li></ul>,0 out of 5 (No ratings available),tv
Food Digital Thermometer,EGP 210.00,EGP 350.00,40%,https://www.jumia.com.eg/generic-food-digital-thermometer-22664350.html?seller_product=1,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/05/346622/1.jpg?5733,"Needle length: 102mm, reader length: 80mm Temperature range: -50 °C to 300 °C (-58 °F + 572 °F) Resolution: (-50+200) 0.1 ° C, the remaining 1 ° C Accuracy: ±1 °C Power supply: AG13 (LR44) battery (standard gift) Four buttons: OFF/ON, °C/°F, MAX/MIN, HOLD",SKU: GE810HA036LHANAFAMZ Production Country: China Size (L x W x H cm): 23cm x 2cm x 2cm Color: black/white Main Material: plasttic .metal,0 out of 5 (No ratings available),tv
Latio Sunflower Oil - 5L,EGP 350.00,EGP 400.00,13%,https://www.jumia.com.eg/latio-sunflower-oil-5l-21358939.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/93/985312/1.jpg?4987,Latio Sunflower Oil  5L,SKU: LA350FF1JYFJ4NAFAMZ Model: 6224009217144 Production Country: Egypt Color: transparent Main Material: sunflower oil Care Label: يحفظ بعيدا عن ضوء الشمس Shop Type: Jumia Mall/Food,4.7 out of 5 (12 verified ratings),tv
Thermal Mug - Stainless Steel Inside - 380 Ml - 1 Pc,EGP 120.00,EGP 150.00,20%,https://www.jumia.com.eg/generic-thermal-mug-stainless-steel-inside-380-ml-1-pc-24726214.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/262742/1.jpg?6998,"Stainless steel inside, plastic lid closed well Keep temperature from 5 to 8 hours",SKU: GE810HA0OKEJANAFAMZ Model: N/A Production Country: China Color: color may vary Main Material: Stainless Steel,0 out of 5 (No ratings available),tv
Verde Sweet Verde Strawberry Jam 80%,EGP 80.00,EGP 85.00,6%,https://www.jumia.com.eg/verde-sweet-verde-strawberry-jam-80-37205225.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/52/250273/1.jpg?6775,"Ingredients: Strawberry 80 %, Natural Pectin, Water, Citric Acid, Stevia Extract.",SKU: VE954FF0V3WKHNAFAMZ Model: 01026765876 Production Country: Egypt Color: red Main Material: Stevia leaf extract,0 out of 5 (No ratings available),tv
Green Oases Sun Dried Tomatoes From Green Oases,EGP 86.00,EGP 103.00,17%,https://www.jumia.com.eg/green-oases-sun-dried-tomatoes-from-green-oases-43132018.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/81/023134/1.jpg?1659,Sun-dried tomatoes from green oases with100% natural oil and herbs Sun-dried tomatoes from green oases with100% natural oil and herbs Sun-dried tomatoes from green oases with100% natural oil and herbs Sun-dried tomatoes from green oases with100% natural oil and herbs,SKU: GR756FF1C8LUMNAFAMZ Model: 6223011610363 Production Country: Egypt Color: red Main Material: tomatoes Care Label: يحفظ فى مكان بارد و جاف بعيدا عن الحرارة و الضوء المباشر&nbsp;<br />بمجرد فتح العبوة تحفظ مبردا ( 4 - 7 درجة )&nbsp;<br /><br /> Shop Type: Jumia Mall/Food,0 out of 5 (No ratings available),tv
Vegetable Shopping Cart,EGP 279.00,,,https://www.jumia.com.eg/generic-vegetable-shopping-cart-32643422.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/434623/1.jpg?0835,Shopping cart in the market to carry vegetables Made of pure aluminum Canvas and tarpaulin Holds up to 50 kg hurry easy  ,"SKU: GE810HA0DCUNZNAFAMZ Model: 327FU Production Country: China, Egypt Color: Color May Vary Main Material: N/A",0 out of 5 (No ratings available),tv
shana Natural Chia Seeds - 230 GM,EGP 104.00,,,https://www.jumia.com.eg/shana-natural-chia-seeds-230-gm-22134868.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/86/843122/1.jpg?4146,Brand: Shanh. Chia Seeds - 230 GM. Chia seeds deliver a massive amount of nutrients with very few calories. Chia seeds are loaded with antioxidants. Chia seeds are high in protein. Help you lose weight. Chia seeds are high in omega-3. It lower your risk of heart disease. They’re high in many important bone nutrients. Reduce Blood Sugar Levels. It reduce chronic inflammation. Easy to Incorporate Into Your Diet.,SKU: SH725FF1FPCKYNAFAMZ Model: 248,4.7 out of 5 (12 verified ratings),tv
Healthy Spread Immune Booster 375g,EGP 145.00,,,https://www.jumia.com.eg/healthy-spread-immune-booster-375g-26166655.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","*Sugar Free African Premium Chocolate *Sweetened with Stevia *Palm Oil and preservative free *Made with Premium Coconut Oil *Low in fats and Calories *Tooth friendly *Doesn’t cause hyper activity to kids *Contains Vitamin C, Zinc, Lactoferrin and Omega 3 (From Almond Extracts).   ",SKU: HE583FF0X54AANAFAMZ Model: 6224010439078 Production Country: Egypt Size (L x W x H cm): 10.9 -7.8 -7.6 Color: N/A Main Material: كاكاو - بندق Shop Type: Jumia Mall/Food,4.8 out of 5 (17 verified ratings),tv
Locked Fresh Box Set - 4 Pcs,EGP 100.00,EGP 130.00,23%,https://www.jumia.com.eg/locked-fresh-box-set-4-pcs-generic-mpg893577.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",4 pcs Food storage box  Plastic  High quality  Refrigerator keeper set transparent,SKU: GE810HL02UW2GNAFAMZ Model: 2515 Production Country: Egypt Color: mayvary Main Material: Plastic,0 out of 5 (No ratings available),tv
AL-Gabali Kashmiri Sidr Honey - 1000 Gr,"EGP 1,449.00",,,https://www.jumia.com.eg/al-gabali-kashmiri-sidr-honey-1000-gr-27180833.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Closed glass clip100% natural honey,SKU: AL634DV0K4MJWNAFAMZ Model: Kashmiri - 1000 - Gr Production Country: Pakistan Size (L x W x H cm): 14 x 11 x 13 Color: honey Main Material: Honey Care Label: عسل النحل الطبيعى لا يحتاج للتخزين فى ظروف معينة&nbsp;,0 out of 5 (No ratings available),tv
Abo Samra Pistachio - Roasted & Salted 250gm,EGP 149.00,,,https://www.jumia.com.eg/abo-samra-pistachio-roasted-salted-250gm-32791160.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Brand: Abo Samra Nuts Pistachio - Roasted & Salted Size: 250g fresh, healthy and delicious",SKU: BR814FF03N60BNAFAMZ Production Country: USA Main Material: N/A Shop Type: Jumia Mall/Food,4.4 out of 5 (9 verified ratings),tv
Discount Nuts Roasted & Salted Mix Nuts - 200gm,EGP 88.00,EGP 127.00,31%,https://www.jumia.com.eg/discount-nuts-roasted-salted-mix-nuts-200gm-38754804.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/40/845783/1.jpg?4349,Brand: Discount Nuts Name: Roasted & Salted Mix Nuts Size: 200gm,SKU: DI387FF0OBGT3NAFAMZ Color: N/A Main Material: N/A Shop Type: Jumia Mall,3.6 out of 5 (12 verified ratings),tv
